"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2020","11,717.0","11,815.0","11,963.0","11,668.0","6.12M","-0.83%"
"06/23/2020","11,815.0","11,914.0","12,012.0","11,766.0","6.67M","-0.42%"
"06/22/2020","11,865.0","12,012.0","12,160.0","11,815.0","4.58M","-1.22%"
"06/19/2020","12,012.0","11,717.0","12,062.0","11,717.0","4.74M","2.52%"
"06/18/2020","11,717.0","11,668.0","11,766.0","11,520.0","2.64M","0.42%"
"06/17/2020","11,668.0","11,963.0","11,963.0","11,569.0","3.25M","-0.42%"
"06/16/2020","11,717.0","11,618.0","11,914.0","11,618.0","8.53M","2.14%"
"06/15/2020","11,471.0","12,160.0","12,160.0","11,422.0","11.96M","-4.90%"
"06/12/2020","12,062.0","11,815.0","12,062.0","11,520.0","13.50M","0.00%"
"06/11/2020","12,062.0","12,603.0","12,702.0","12,012.0","18.63M","-4.29%"
"06/10/2020","12,603.0","12,554.0","12,751.0","12,406.0","13.19M","0.39%"
"06/09/2020","12,554.0","12,554.0","12,603.0","12,406.0","7.17M","0.39%"
"06/08/2020","12,505.0","12,406.0","12,800.0","12,406.0","12.37M","0.80%"
"06/05/2020","12,406.0","12,505.0","12,505.0","12,258.0","8.18M","-0.39%"
"06/04/2020","12,455.0","12,603.0","12,652.0","12,406.0","10.48M","-0.79%"
"06/03/2020","12,554.0","12,209.0","12,554.0","12,209.0","7.64M","2.83%"
"06/02/2020","12,209.0","12,554.0","13,046.0","12,209.0","22.21M","-1.20%"
"06/01/2020","12,357.0","11,323.0","12,357.0","11,274.0","28.15M","9.61%"
"05/29/2020","11,274.0","11,274.0","11,323.0","11,175.0","4.86M","0.00%"
"05/28/2020","11,274.0","11,225.0","11,422.0","11,225.0","7.25M","0.44%"
"05/27/2020","11,225.0","11,569.0","11,668.0","11,225.0","12.98M","-2.14%"
"05/26/2020","11,471.0","11,077.0","11,569.0","11,077.0","10.70M","3.10%"
"05/25/2020","11,126.0","11,077.0","11,175.0","10,978.0","7.15M","0.89%"
"05/22/2020","11,028.0","11,077.0","11,175.0","10,978.0","9.83M","0.00%"
"05/21/2020","11,028.0","10,929.0","11,175.0","10,782.0","9.39M","0.91%"
"05/20/2020","10,929.0","10,880.0","11,028.0","10,831.0","6.33M","0.00%"
"05/19/2020","10,929.0","10,831.0","11,077.0","10,831.0","11.30M","1.84%"
"05/18/2020","10,732.0","10,782.0","10,782.0","10,535.0","5.63M","0.46%"
"05/15/2020","10,683.0","10,585.0","10,929.0","10,535.0","14.09M","1.40%"
"05/14/2020","10,535.0","10,683.0","10,732.0","10,535.0","7.77M","-1.39%"
"05/13/2020","10,683.0","10,831.0","10,831.0","10,585.0","7.02M","-0.46%"
"05/12/2020","10,732.0","10,683.0","10,831.0","10,535.0","8.24M","0.46%"
"05/11/2020","10,683.0","10,782.0","10,782.0","10,535.0","8.35M","1.40%"
"05/08/2020","10,535.0","10,486.0","10,782.0","10,338.0","12.18M","0.94%"
"05/07/2020","10,437.0","10,289.0","10,437.0","10,240.0","6.04M","1.92%"
"05/06/2020","10,240.0","10,043.0","10,437.0","9,945.0","9.05M","2.46%"
"05/05/2020","9,993.8","9,944.6","10,043.1","9,944.6","2.29M","0.00%"
